experiment_id,baseline,qkd_availability_config,device_count,payload_class,network_load,n_transactions,n_success,successful_transmission_rate,key_establishment_ms_mean,key_establishment_ms_median,key_establishment_ms_p95,key_establishment_ms_ci95_low,key_establishment_ms_ci95_high,payload_encryption_ms_mean,end_to_end_ms_mean,end_to_end_ms_median,end_to_end_ms_p95,communication_overhead_bytes_mean,fallback_frequency
baseline=B4_qkd=50_devices=10_payload=medium_load=nominal_seed=1146660997,B4,0.5,10,medium,nominal,500,344,0.688,0.2634267703484408,0.24507449998623088,0.4235934999798015,0.25602137209166015,0.27191630813677575,0.03209909883949205,11.688489125001887,11.718672499994128,12.98246809996936,5581,nan
baseline=B4_qkd=50_devices=1000_payload=medium_load=nominal_seed=2783290795,B4,0.5,1000,medium,nominal,50000,25033,0.50066,0.2887495395279568,0.26711800001066877,0.4583389999652353,0.28753516925639644,0.2898744898736009,0.042798738145771544,11.731865574681677,11.731617000045873,13.039516799955397,5581,nan
baseline=B4_qkd=100_devices=10_payload=medium_load=nominal_seed=1193887545,B4,1.0,10,medium,nominal,500,499,0.998,0.2555706613208543,0.23384699994721814,0.4007514999841532,0.24882945290230368,0.2622450921824006,0.032112278556915425,11.680974771541097,11.67791300001687,12.950668599972813,5581,nan
baseline=B4_qkd=100_devices=1000_payload=medium_load=nominal_seed=1566942273,B4,1.0,1000,medium,nominal,50000,49850,0.997,0.2625928690470869,0.24006350000149723,0.42709630000672405,0.26179124904724843,0.26341451709120206,0.03964853183541149,11.703162932517403,11.70123500001186,13.013917299969442,5581,nan
baseline=B5_qkd=0_devices=10_payload=medium_load=nominal_seed=2436019774,B5,0.0,10,medium,nominal,500,497,0.994,40.23584506036234,50.338283000019146,50.58947020004325,38.43180977263567,42.14495200000021,0.030963511068639895,51.64600409658188,61.41905200001445,63.07754759997739,8890,0.85
baseline=B5_qkd=0_devices=1000_payload=medium_load=nominal_seed=1351531223,B5,0.0,1000,medium,nominal,50000,49842,0.99684,47.876812028730804,50.38431450002463,50.62925044994131,47.783289387223796,47.968770972212795,0.04322735084870071,59.324367101260016,61.78519249999546,63.16042345005017,8890,0.9985
baseline=B5_qkd=50_devices=10_payload=medium_load=nominal_seed=137869475,B5,0.5,10,medium,nominal,500,499,0.998,32.889362655313306,50.33228799998142,50.6337688000599,30.78233755110471,34.89999137675677,0.03256492985776517,44.24494558917909,60.95701400009201,62.994392299980206,8890,0.032
baseline=B5_qkd=50_devices=1000_payload=medium_load=nominal_seed=1149938334,B5,0.5,1000,medium,nominal,50000,49862,0.99724,45.583198124523356,50.38673099999187,50.625865950058824,45.459892669126674,45.70661362498468,0.04030593046808613,57.02437689507006,61.71148650002151,63.15968680003409,8890,0.047
baseline=B5_qkd=100_devices=10_payload=medium_load=nominal_seed=2392080953,B5,1.0,10,medium,nominal,500,496,0.992,0.438004221775699,0.41573250001647466,0.6727202500371732,0.4277151350806211,0.4486418245986193,0.03321388911126816,11.834686723790194,11.875062999908392,13.154204499890138,8890,0.0
baseline=B5_qkd=100_devices=1000_payload=medium_load=nominal_seed=1392783743,B5,1.0,1000,medium,nominal,50000,49865,0.9973,0.43228817609548614,0.4070950000141238,0.6583866000255512,0.4312045743910622,0.4333999868847385,0.04061908743598259,11.87673960124329,11.875839999864372,13.1829634000541,8890,0.0
